Company,URL of the article,Good Bad or Neutral
Ford Motor,Ford Motor: That's a Lot of Recalls -- Barron's Blog,Bad
Ford Motor,"Press Release: Event Alert: Kinaxis Customer, Ford Motor Company, to Present at North American Supply Chain Executive Summit",Neutral
Ford Motor,Ford Motor: How Risky is Its Autonomous Driving Plan? -- Barron's Blog,Bad
Ford Motor,Ford Motor Plans Ride-Hailing Service With Fleet of Driverless Cars by 2021,Good
Ford Motor,Ford Motor Files 8K - Other Events >F,Bad
Ford Motor,Ford Motor: Why Goldman Sachs Threw in the Towel -- Barron's Blog,Bad
Ford Motor,Ford Motor: It's Still Not General Motors -- Barron's Blog,Bad
Ford Motor,Ford Motor stock drops on lower profit,Bad
Ford Motor,"Ford Motor Earnings: What to Watch; U.S. production, Brexit and China sales in focus when auto maker reports second-quarter results",Neutral
Ford Motor,Press Release: Details of Ford Motor Company and Ford Motor Credit Company July 28 Briefings on 2016 Second Quarter Results,Neutral
Ford Motor,Press Release: Ford Motor Company Declares Dividend for Third Quarter 2016,Neutral
Ford Motor,"Press Release: Ford Motor Company First Half Sales in China Up Six Percent, Accelerating Past Half Million Mark",Good
Ford Motor,Press Release: Leidos Works with Ford Motor Co. on Energy Efficiency Goals,Good
Ford Motor,"Frost & Sullivan Appoints Ford Motor Company Veteran, John Fleming, New Mobility Consultant [press release]",Bad
Ford Motor,Press Release: Ford Motor Company Fund Expands Global Reach with Innovative Job Training Investment in South Africa,Good
Ford Motor,Press Release: Details of Ford Motor Company's 2016 Annual Meeting of Shareholders,Neutral
Ford Motor,Ford Motor Files 8K - Entry Into Definitive Agreement >F,Neutral
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's April 2016 U.S. Sales Conference Call,Neutral
Ford Motor,"DJ Ford Motor Company, Inst Holders, 1Q 2016 (F)",Neutral
Ford Motor,"Ontario Liberals raised at least $400,000 from subsidized firms; Companies including Cisco Systems and the Ford Motor Company, which received taxpayer subsidies, made corporate donations",Bad
Ford Motor,Press Release: Details of Ford Motor Company and Ford Motor Credit Company April 28 Briefing on 2016 First Quarter Results,Neutral
Ford Motor,Press Release: Ford Motor Company Declares Dividend for Second Quarter 2016,Neutral
Ford Motor,*S&P Raises SATURNS Ford Motor Co Debenture-Bckd Ser 2003-5 Rtg,Good
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's March 2016 U.S. Sales Conference Call,Neutral
Ford Motor,*S&P Upgrds Ford And Ford Motor Credit To 'BBB/A-2'; Outlk Stbl,Good
Ford Motor,Ford Motor Files 8K - Changes Exec Mgmt >F,Neutral
Ford Motor,"Press Release: Ford Motor Company to Host CFO ""Let's Chat""",Neutral
Ford Motor,*Ford Motor Credit Co. Selling 3-Year SGD-Denominated Bonds to Yield 3.7-3.9% -- Term Sheet,Neutral
Ford Motor,C-Suite Strategies (A Special Report) --- The Challenging Road to Get to the Connected Car: Ford Motor's CIO says the key is putting just enough things in the vehicle; But not too many,Neutral
Ford Motor,"Ford Motor earnings beat forecast, stock off after margin warning",Good
Ford Motor,"Ford Motor to Close Operations in Indonesia, Japan; U.S. auto maker sold just over 11,000 vehicles in the two markets in 2015",Bad
Ford Motor,Ford Motor to Close Operations in Indonesia and Japan,Bad
Ford Motor,"DJ Ford Motor Company, Inst Holders, 4Q 2015 (F)",Neutral
Ford Motor,Press Release: Details of Ford Motor Company's January 28 Briefing on 2015 Fourth Quarter and Full-Year Results,Neutral
Ford Motor,Ford Motor Files 8K - Other Events >F,Neutral
Ford Motor,Press Release: Ford Motor Company to Host Conference Call on Pension and OPEB Plans,Neutral
Ford Motor,Press Release: Ford Motor Company Press Conference at 2016 Consumer Electronics Show to Be Live-Streamed by CNET,Neutral
Ford Motor,Ford Motor teases the Fusion hybrid,Neutral
Ford Motor,Press Release: Ford Motor Company Announces 2016 Earnings Dates,Neutral
Ford Motor,*Details Of Ford Motor Company's Nov. 30 Briefing On UAW-Ford 2015 Collective Bargaining Agreement Ratification,Neutral
Ford Motor,*S&P Revises Ford Motor And Sub Otlks To Pos; 'BBB-' CCRs Afrmd,Good
Ford Motor,"Press Release: Ford Motor Company to Host CFO ""Let's Chat""",Neutral
Ford Motor,"Ford Motor reports 3rd-qtr higher profit, but misses estimate",Bad
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's October 2015 U.S. Sales Conference Call,Neutral
Ford Motor,Fiat Chrysler-UAW Contract Appears Headed for Victory; Deal will be used as a template for General Motors Co. or Ford Motor Co. pact if it passes,Neutral
Ford Motor,"DJ Ford Motor Company, Inst Holders, 3Q 2015 (F)",Neutral
Ford Motor,Press Release: Ford Motor Company Expands Hunger-Relief Programs in New England as Part of Broader Community Commitment,Good
Ford Motor,Press Release: Details of Ford Motor Company's Oct. 27 Briefing on 2015 Third Quarter Results,Neutral
Ford Motor,Ford Motor to invest $1.8bn in China; to roll out smart cars,Good
Ford Motor,Press Release: Ford Motor Company Declares Dividend for Fourth Quarter 2015,Neutral
Ford Motor,"Press Release: Marathon Patent Group Subsidiary Signal IP, Inc. Receives Favorable Order Denying Motion to Stay Filed by Ford Motor Company and Fiat Chrysler Automobiles US",Bad
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's September 2015 U.S. Sales Conference Call,Neutral
Ford Motor,"Volkswagen peers and suppliers suffer collateral damage; Shares of Ford Motor and General Motors drop, after rising the day before",Bad
Ford Motor,How Ford Motor Company paint shop in Sanand has cut VOC and CO2 emissions,Good
Ford Motor,"GM, UAW Agree to Extend Contract Past Expiration, Continue Bargaining; Move follows similar agreement with Ford Motor earlier Monday",Neutral
Ford Motor,*Ford Motor Reaches Aluminum Deal with Alcoa,Good
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's August 2015 U.S. Sales Conference Call,Neutral
Ford Motor,Ford Motor: Defying the Bears -- Barron's Blog,Good
Ford Motor,"DJ Ford Motor Company, Inst Holders, 2Q 2015 (F)",Neutral
Ford Motor,US SF WRAP-Ford Motor leading another ABS supply rush this week,Good
Ford Motor,"Ford Motor: Wait, They're Already Discounting the F-150? -- Barron's Blog",Bad
Ford Motor,Press Release: Details of Ford Motor Company's July 28 Briefing on 2015 Second Quarter Results,Neutral
Ford Motor,Press Release: Ford Motor Company Declares Dividend for Third Quarter 2015,Neutral
Ford Motor,"Injured motorist sues Bobbi Kristina Brown: Marietta man also sues Ford Motor Co., Jeep's owner.",Bad
Ford Motor,Ford Motor launching car-sharing pilot program,Good
Ford Motor,Ford Motor targets varsity students with innovation award,Good
Ford Motor,"Press Release: Ford Motor Company Invests $1 Million in Education, Community Programs for Northern California",Good
Ford Motor,Ford Motor: Time for a Breakout -- Barron's Blog,Good
Ford Motor,"Press Release: Ford Motor Company Fund Sends Louisville War Veterans to Visit National World War II Memorial in Washington, D.C.",Good
Ford Motor,Press Release: Ford Motor Company Fund Strengthens Red Cross Fleet with 5 New Emergency Response Vehicles,Good
Ford Motor,Press Release: Media Advisory: Details of Ford Motor Company's May 2015 U.S. Sales Conference Call,Neutral
